text,text.1,text.2,text.3
Please godrej appliances that i have buyed in past give me the value of  my money and very good experience of this brand,,Because i am really impressed by godrej applicances that i am using ,
I am satisfied with this brand,,,I am happy with this brand
Very good product,Very good product and good quality,,
,,,
,The design ang strength,,
,,,I have security locker of godrej and it's easy to use and secure
,,,i try to this product.and thevsame product is available to lower price in another brand
Through my experience used it though has to come up with new ideas,,I have used it its good but lacks variety ,
,it is very good brand,it is one of the good brand for use,
,,"Well, the brand is indeed trustworthy and used for a long time back. It is indeed credible among people.",
It's Global and Trustworthy Brand Since long and continuously gives services to their customers worldwide ,,Godrej is a Global and most Trustworthy Brand Since long.,
Is it possible to get,,,
Good brand with promising product ,,,Very prominent and useful piece of product 
,100,,Because I am using this brand from 10 years ago
"For me, it's outdated.",,Godrej Interio products range is classy and stylish.,
This brand performs good ,,This brand is long lasting possessing a reputed heritage,
Because I like it,,,Because it is good 
"Because godrej ina good company and also provides good product 
",,Because godrej is a good company that provides a good product ,
Its a reputed brand ,,Its a well known brand ,
It's been a good experience with godrej products,,Godrej has been always good,
Great service ,,,
,100,,100
,Godrej is old and trusted brand that I know my childhood to till now I always use and remember the qualitative trust that it's great in our ...,Previously said that Godrej get rosted brand that is an oldest brand,
,,,
Very nice product and I am satisfied ,,,I used this brand and I am satisfied 
It is a great brand that provides goods for goodmoney value,,It is best brand for furniture ,
I am not using this product then I don't know about it ,,Godrej furniture is the best ,
,This is best brand In lock. This compony makes relible products,Best products makes. And stong products that's can survive more years,
Godrej builts great products ,,,Great built quality 
It is awesome ,,,It is awesome 
,It is very good brand and I love it ,It is very good brand and I love it is very good brand and I ,
,,It is trustworthy,I love it
Because my family used this products long time ago.,"Godrej making locks long time and currently they make good and innovative locks
",,
,,,
,,I have used this brand ,I have already used
,Godrej products very trusty and traditional quality product,,Godrej is good quality and very safe
,,Trusted furniture ,Trusted company durable items 
,Godrej is a trusted brand and I have been using their products for the past so many years ,Godrej is a trusted brand which I have been using for the past few years ,
Godrej provides a good brand of item in less price ,Godrej is someone nice item procider,,
It is convenient to use .,,,It is a trusted brand over the years
Depends on how I used it,,Depends on the other things ,
,,Best products and quality of products is very good and durable ,Godrej products and lockers quality was very good and trusted products 
,Godrej is one of the best and top brand of lock. It's easy to understand us. And mainly it's connected to whole area.,Because it's  one of the top brand of furniture. Here mainly connected to whole area.,
It is very good in performance and highly recommended by everyone ,,,Godrej is always a prefered company
"I am fairly satisfied with this brand..,moreover it is old trusted brand",,Godrej is a well known trusted brand for long years.Quality is trusted.,
,,,Quality products parformance
